t,x_x,x_y,x_z,y_x_obs,y_z_obs
3.76,-6.809548938,-7.354279756,24.15957341,-8.839684749,28.25708471
3.77,-6.870638771,-7.547100886,24.02664565,-3.300301967,26.29874302
3.78,-6.94471194,-7.749021259,23.91564979,-8.786412735,25.62568844
3.79,-7.03135281,-7.959072875,23.82785614,-5.752099991,24.71294738
3.8,-7.130087874,-8.176174448,23.76449314,-4.63075734,25.03523543
3.81,-7.24037944,-8.39911006,23.72673314,-5.760350967,25.00054571
3.82,-7.361617929,-8.626508698,23.71567336,-6.680035113,20.1484511
3.83,-7.493113035,-8.856825567,23.73231206,-7.32587088,22.61992814
3.84,-7.634084069,-9.088326167,23.77751953,-10.19376598,27.14115276
3.85,-7.783649898,-9.319074339,23.8520039,-4.325659216,26.5704451
3.86,-7.94081894,-9.546925624,23.95627207,-7.430392106,26.65752231
3.87,-8.104479803,-9.769527435,24.09058607,-8.080373442,24.49618062
3.88,-8.273393218,-9.984327625,24.25491588,-10.46033596,25.04889848
3.89,-8.446186035,-10.18859302,24.44888997,-8.325414178,21.84358573
3.9,-8.621348087,-10.37943944,24.6717454,-8.72374231,24.51228628
3.91,-8.797232818,-10.55387435,24.92227989,-5.202110485,26.71070655
3.92,-8.972062563,-10.70885297,25.1988087,-8.949171685,25.69638332
3.93,-9.14393931,-10.84134792,25.49912995,-9.055514554,25.09330198
3.94,-9.310861704,-10.94843167,25.82050179,-11.4757161,25.51839803
3.95,-9.470748826,-11.02736994,26.15963565,-10.96294534,23.65900457
3.96,-9.621471008,-11.07572307,26.51270887,-8.599027379,27.29523819
3.97,-9.760887586,-11.09145116,26.87540006,-13.33430261,26.63003079
3.98,-9.886891031,-11.07301754,27.24294917,-7.895488259,29.36139665
3.99,-9.997456401,-11.01948441,27.61024285,-7.945782716,27.68806926
4,-10.09069453,-10.93059375,27.97192419,-11.78078518,25.80452653
4.01,-10.16490686,-10.80682685,28.32252355,-9.475697053,29.08108362
4.02,-10.21863948,-10.64943659,28.65660536,-7.643977258,30.85656466
4.03,-10.25073352,-10.46044772,28.96892396,-10.51519084,26.4805122
4.04,-10.26036918,-10.24262273,29.25457996,-10.89858237,29.68904235
4.05,-10.24710059,-9.99939334,29.50916813,-10.65126708,28.35337992
4.06,-10.21087932,-9.734760206,29.72890779,-9.705109692,28.72099231
4.07,-10.15206475,-9.453166243,29.91074775,-11.40819692,30.53365342
4.08,-10.07142041,-9.159351007,30.0524397,-10.87540557,30.54064848
4.09,-9.970096267,-8.85819515,30.15257633,-9.423688222,27.87371833
4.1,-9.849597802,-8.554564493,30.21059325,-10.81208005,33.08614713
4.11,-9.711743557,-8.253162999,30.22673662,-12.03590258,25.99342772
4.12,-9.558613481,-7.958402668,30.20200071,-13.28230379,30.2602206
4.13,-9.392490891,-7.674296578,30.13804159,-9.330656335,29.90281988
4.14,-9.215801073,-7.404378994,30.03707424,-6.787421415,24.69140537
4.15,-9.031049499,-7.151654127,29.90176052,-8.23918175,33.02463692
4.16,-8.840762417,-6.918572877,29.7350955,-11.09632395,28.97548248
4.17,-8.647432138,-6.707035101,29.54029822,-10.15321597,27.75160613
4.18,-8.453468836,-6.518413552,29.32071182,-9.105992846,32.17568239
4.19,-8.261160064,-6.353594876,29.07971671,-4.586386713,28.40783826
4.2,-8.072638661,-6.213032724,28.82065852,-4.262518232,28.89181147
4.21,-7.889859154,-6.096808237,28.54679163,-4.382477101,28.36019433
4.22,-7.714582343,-6.004693585,28.2612378,-7.452466691,28.99218675
4.23,-7.548367394,-5.93621495,27.96695865,-1.190660035,29.6695298
4.24,-7.392570541,-5.890712101,27.66674026,-8.807099601,29.604736
4.25,-7.24834932,-5.867392505,27.36318792,-7.972014395,26.38368756
4.26,-7.116671238,-5.86537862,27.05872886,-5.299468518,27.12090004
4.27,-6.998325746,-5.883747647,26.75562108,-6.441173917,26.78359152
4.28,-6.893938489,-5.921563523,26.45596643,-6.220772236,27.30589823
4.29,-6.803986868,-5.977901302,26.16172652,-10.67792073,27.49487186
4.3,-6.728816095,-6.051864334,25.87473998,-8.692854934,22.99014171
4.31,-6.66865502,-6.142594827,25.5967403,-6.785477508,25.76470231
4.32,-6.623631176,-6.24927845,25.32937327,-8.010643505,26.99143698
4.33,-6.593784558,-6.371143646,25.07421343,-9.278134891,24.26032593
4.34,-6.579079804,-6.507456331,24.83277919,-7.748828074,24.73960465
4.35,-6.579416508,-6.657510571,24.60654607,-6.021687938,22.59076017
4.36,-6.594637499,-6.820615808,24.39695786,-5.146072144,24.5229626
4.37,-6.624534966,-6.996081119,24.20543541,-10.40842747,20.28825253
4.38,-6.668854376,-7.183196937,24.03338277,-6.693492961,23.59144813
4.39,-6.727296172,-7.381214665,23.88219033,-6.934136399,23.82622542
4.4,-6.799515291,-7.589324553,23.75323479,-6.348395612,25.64853401
4.41,-6.885118548,-7.806632263,23.64787537,-9.10732835,21.30393219
4.42,-6.983659991,-8.03213457,23.56744606,-9.170307707,24.1452794
4.43,-7.094634376,-8.264694739,23.51324334,-4.604739619,22.65056447
4.44,-7.21746892,-8.503018237,23.48650903,-12.22086861,20.07852331
4.45,-7.351513578,-8.745629581,23.48840773,-9.017587024,22.37294995
4.46,-7.496030142,-8.990851323,23.51999858,-8.312807396,23.59716083
4.47,-7.650180519,-9.236786347,23.58220112,-8.27367318,25.68088034
4.48,-7.813014663,-9.481304917,23.67575506,-9.165049274,21.95111914
4.49,-7.983458718,-9.722038072,23.8011744,-7.025707641,20.72989026
4.5,-8.160304034,-9.956379176,23.95869633,-7.380920623,24.1638027
4.51,-8.342197851,-10.18149552,24.14822613,-8.637082831,27.32477834
4.52,-8.527636541,-10.39435189,24.3692796,-9.772051431,28.48987594
4.53,-8.714962373,-10.59174778,24.62092541,-9.165825272,22.06689252
4.54,-8.902364866,-10.77036977,24.9017303,-8.762525704,22.7492399
4.55,-9.087887744,-10.92685969,25.20971074,-10.59139944,26.00377734
4.56,-9.2694425,-11.05789871,25.54229525,-8.158278323,24.29795985
4.57,-9.44482939,-11.16030601,25.896302,-7.4700191,28.21131751
4.58,-9.611766428,-11.23114967,26.26793614,-6.739162915,27.32676296
4.59,-9.767926615,-11.26786559,26.65281138,-7.04106919,22.89121452
4.6,-9.910983108,-11.2683792,27.04599893,-10.54679621,25.31198842
4.61,-10.03866154,-11.23122289,27.44210618,-9.800209821,26.29920774
4.62,-10.14879802,-11.15564141,27.83538492,-10.4811137,31.59973469
4.63,-10.2394007,-11.04167712,28.21986727,-10.57884029,29.0474519
4.64,-10.30871235,-10.89022712,28.58952435,-10.77325101,28.74095092
4.65,-10.35527074,-10.70306571,28.93844081,-10.34323738,29.83508894
4.66,-10.37796354,-10.48282749,29.26099585,-8.047348468,32.55578385
4.67,-10.37607443,-10.2329495,29.55204013,-9.756834267,30.7311339
4.68,-10.34931735,-9.957573656,29.80705766,-12.65104637,29.63130418
4.69,-10.29785649,-9.66141447,30.02230217,-8.417277557,31.75423945
4.7,-10.22231037,-9.349599724,30.19489942,-9.799090906,31.96768734
4.71,-10.12373956,-9.02749426,30.32290951,-9.142206137,32.72352202
4.72,-10.0036183,-8.700518249,30.40534652,-9.424899987,29.69394989
4.73,-9.86379189,-8.373971412,30.44215632,-9.192109376,24.58096757
4.74,-9.706421971,-8.052873653,30.43415645,-8.940650498,23.1373308
4.75,-9.533923104,-7.741830564,30.38294501,-12.98084992,31.28648221
4.76,-9.34889398,-7.444929614,30.29078662,-8.393835306,27.96592906
4.77,-9.154046928,-7.165669938,30.16048485,-10.57825101,32.90156683
4.78,-8.952139087,-6.906925803,29.99525004,-9.92019935,34.48109067
4.79,-8.74590819,-6.670941378,29.79857047,-8.749747896,30.61464282
4.8,-8.538015313,-6.459352584,29.57409339,-5.304266516,29.83614763
4.81,-8.330996242,-6.273230631,29.32552063,-10.3356842,29.10606572
4.82,-8.127222428,-6.113141328,29.05652144,-8.198443901,26.32703814
4.83,-7.92887182,-5.979214325,28.77066394,-8.440535963,27.28627976
4.84,-7.737909327,-5.871216962,28.47136453,-5.889193813,28.54058828
4.85,-7.556076205,-5.788628182,28.16185418,-8.121667704,27.94949032
4.86,-7.384887342,-5.730708942,27.84515937,-6.938643306,29.07878777
4.87,-7.22563522,-5.696566498,27.52409539,-9.225059677,25.44092013
4.88,-7.079399249,-5.685210843,27.20126932,-4.870040819,26.37659558
4.89,-6.947059169,-5.695602391,26.8790904,-9.780743354,27.76671582
4.9,-6.829311269,-5.726690586,26.55978558,-5.902571657,23.49835507
4.91,-6.726686311,-5.777443627,26.24541844,-6.26772288,27.71658463
4.92,-6.639568157,-5.846869802,25.93790978,-5.890795254,27.20187275
4.93,-6.56821229,-5.934031146,25.6390589,-9.376750486,26.30113921
4.94,-6.512763518,-6.03805022,25.35056452,-7.118003037,24.3849842
4.95,-6.473272348,-6.15811084,25.0740446,-4.732161129,28.03259362
4.96,-6.449709612,-6.293453553,24.81105472,-2.860969502,27.44067046
4.97,-6.441979036,-6.443366571,24.56310451,-6.6614474,25.26854484
4.98,-6.449927573,-6.607172826,24.3316719,-4.916281829,24.5740278
4.99,-6.473353337,-6.784213669,24.11821492,-6.211824961,25.76572118
