,f1,f2,f3
gdp_growth,-0.5531789313281579,0.0,0.0
industrial_production,-0.5404579124945468,0.05598936720844856,0.0
unemployment,0.5183285760094613,-0.1794668011621384,0.04068689909876718
payrolls,-0.5311536541467089,0.03828681658095345,-0.023158716421838824
retail_sales,-0.5386999347469645,-0.0720640096600369,0.010811384671838889
housing_starts,-0.5126726149330605,-0.10167369996897009,-0.10356812280295112
pmi_manufacturing,-0.40453566090188936,-0.3048556031491083,0.4353016033978417
cpi_inflation,-0.11032106108420858,-0.5503803037904742,-0.35757703025302395
